Entry ID,Jurisdiction,Intervention category,Intervention type,Description,Organization,Date
"CAN006","Canada","Public information","Masks","Recommendation for the use of face masks issued","Public Health Agency of Canada","April  7, 2020"
"CAN020","Canada","Public information","Masks","Mandatory use of face coverings for all air and rail passengers announced","Transport Canada","April 17, 2020"
"CAN044","Canada","Public information","Masks","Guidance on use of non-medical masks published","Health Canada","March 26, 2020"
"CAN075","Canada","Case management","Self-isolation","Guidance on self-isolation published","Public Health Agency of Canada","March 11, 2020"
"CAN116","Canada","Case management","Other","Use of 1st COVID-19 serological test authorized","Health Canada","May 12, 2020"
"CAN131","Canada","Public information","Masks","Mandatory use of face coverings for transportation sector workers announced","Transport Canada","June  4, 2020"
"CAN136","Canada","Case management","Contact tracing","Launch of national contact tracing app announced","Prime Minister","June 18, 2020"
"CAN138","Canada","Case management","Other","Phase 1 of mandatory air traveller screening announced","Transport Canada","June 30, 2020"
"CAN165","Canada","Case management","Other","Canada’s Flight Plan for Navigating COVID-19, aimed at reducing risks of COVID-19 while travelling by aircraft, announced","Transport Canada","August 14, 2020"
"CAN173","Canada","Case management","Other","Consistent approach for air carriers to collect and share passenger information for COVID-19 tracing announced","Transport Canada","September 11, 2020"
"CAN185","Canada","Case management","Other","Agreement to purchase 7.9 million rapid tests and 3,800 analysers from Abbott Rapid Diagnostics signed","Public Services and Procurement Canada","September 29, 2020"
"CAN186","Canada","Case management","Other","Final phase of mandatory airport screening implemented","Transport Canada","September 23, 2020"
"CAN192","Canada","Case management","Other","Agreement to purchase 20.5 million rapid tests from Abbott Rapid Diagnostics signed","Public Services and Procurement Canada","October  6, 2020"
"CAN200","Canada","Case management","Contact tracing","COVID Alert app updated to send notifications based on a more precise timeline","Health Canada","October 30, 2020"
"CAN206","Canada","Public information","Masks","Guidance on non-medical masks updated; recommend wearing a 3-layer mask with a middle, filter layer","Public Health Agency of Canada","November  3, 2020"
"CAN208","Canada","Case management","Other","Funding for First Nations to adapt community infrastructure for infection control measures announced","Indigenous Services Canada","November  6, 2020"
"CAN210","Canada","Case management","Other","Agreement to purchase 7.6 million rapid tests and 2,172 analysers from Benton, Dickson and Company signed","Public Services and Procurement Canada","November 10, 2020"
"CAN216","Canada","Case management","Other","Funding for Indigenous communities and organizations in Man., Alta. and Sask. for infection control measures announced","Indigenous Services Canada","November 20, 2020"
"CAN219","Canada","Case management","Other","Funding for the Government of Nunavut, Inuit communities and Inuit organizations for infection control measures announced","Government of Canada","November 25, 2020"
"CAN222","Canada","Case management","Contact tracing","COVID Alert app updated","Health Canada","December 10, 2020"
"CAN235","Canada","Case management","Other","Funding for the Indigenous Community Support Fund for community-led COVID-19 responses announced","Indigenous Services Canada","January 13, 2021"
"CAN253","Canada","Public information","Masks","Mask mandate for any person in the House of Commons announced (e.g., members and their staff, political research office staff, etc.)","House of Commons","February  1, 2021"
"CAN285","Canada","Case management","Self-isolation","$1.5 million to be funded for a Safe Voluntary Isolation Site for Thunder Bay and surrounding communities","Public Health Agency of Canada","April  1, 2021"
"CAN288","Canada","Case management","Other","$17.8 million to be funded for a Safe Voluntary Isolation Site for temporary foreign agri-workers in Windsor-Essex","Public Health Agency of Canada","April  1, 2021"
"CAN290","Canada","Case management","Self-isolation","$336,000 to be funded for a Safe Voluntary Isolation Site in Sault Ste. Marie, Ontario","Public Health Agency of Canada","April 15, 2021"
"CAN291","Canada","Case management","Self-isolation","$11.6 million to be funded for a Safe Voluntary Isolation site in Saskatchewan","Public Health Agency of Canada","April 16, 2021"
"CAN317","Canada","Case management","Other","Announced investment in StaySafe rapid screening program in Waterloo region; 3 COVID-19 rapid screening buses will provide free testing for various workplaces","Health Canada","April 12, 2021"
"CAN329","Canada","Case management","Self-isolation","$4.2 million granted to operate safe voluntary isolation sites in N.S.","Public Health Agency of Canada","May 26, 2021"
